Model,Language,Model_Dimension,Human_Dimension,Pearson_r,P_value,Significant
Mimo-7B,Chinese,FORCE,FORCE,,,
Mimo-7B,Chinese,FORCE,HAND,,,
Mimo-7B,Chinese,FORCE,ARM,,,
Mimo-7B,Chinese,FORCE,HD,,,
Mimo-7B,Chinese,FORCE,VD,,,
Mimo-7B,Chinese,HAND,FORCE,-0.600827103939663,0.20720659619166923,
Mimo-7B,Chinese,HAND,HAND,-0.0386830349386047,0.9420043897976939,
Mimo-7B,Chinese,HAND,ARM,0.040820917229250776,0.93880263506839,
Mimo-7B,Chinese,HAND,HD,-0.041473409837347326,0.9378255532831213,
Mimo-7B,Chinese,HAND,VD,0.035951690376770276,0.9460956986469069,
Mimo-7B,Chinese,ARM,FORCE,,,
Mimo-7B,Chinese,ARM,HAND,,,
Mimo-7B,Chinese,ARM,ARM,,,
Mimo-7B,Chinese,ARM,HD,,,
Mimo-7B,Chinese,ARM,VD,,,
Mimo-7B,Chinese,HD,FORCE,,,
Mimo-7B,Chinese,HD,HAND,,,
Mimo-7B,Chinese,HD,ARM,,,
Mimo-7B,Chinese,HD,HD,,,
Mimo-7B,Chinese,HD,VD,,,
Mimo-7B,Chinese,VD,FORCE,,,
Mimo-7B,Chinese,VD,HAND,,,
Mimo-7B,Chinese,VD,ARM,,,
Mimo-7B,Chinese,VD,HD,,,
Mimo-7B,Chinese,VD,VD,,,
Mimo-VL,Chinese,FORCE,FORCE,0.3436648931092035,0.5047970274488954,
Mimo-VL,Chinese,FORCE,HAND,0.40577579473106207,0.4247426108614194,
Mimo-VL,Chinese,FORCE,ARM,0.7845266296375263,0.06464107786686263,
Mimo-VL,Chinese,FORCE,HD,0.658238278963669,0.1552425429198652,
Mimo-VL,Chinese,FORCE,VD,0.7984267438068022,0.056852526559375345,
Mimo-VL,Chinese,HAND,FORCE,0.06556644983468543,0.9017912589990541,
Mimo-VL,Chinese,HAND,HAND,0.4937176827690359,0.319597083543469,
Mimo-VL,Chinese,HAND,ARM,0.834787757338178,0.03868788657442108,*
Mimo-VL,Chinese,HAND,HD,0.2331478174640068,0.6566149872356356,
Mimo-VL,Chinese,HAND,VD,0.417039608370536,0.41070677611544193,
Mimo-VL,Chinese,ARM,FORCE,-0.5352208268792851,0.2738287955802615,
Mimo-VL,Chinese,ARM,HAND,-0.359417122375615,0.48408918839039716,
Mimo-VL,Chinese,ARM,ARM,-0.11565726444021254,0.8272876539843859,
Mimo-VL,Chinese,ARM,HD,-0.5179056931474199,0.29259942600105243,
Mimo-VL,Chinese,ARM,VD,-0.6331075322152949,0.17722141162063776,
Mimo-VL,Chinese,HD,FORCE,-0.7953186041000484,0.05855420104957035,
Mimo-VL,Chinese,HD,HAND,-0.48830704246432494,0.32575632180827685,
Mimo-VL,Chinese,HD,ARM,-0.5120365370056592,0.2990684264519966,
Mimo-VL,Chinese,HD,HD,-0.22557848501232014,0.6673716267265933,
Mimo-VL,Chinese,HD,VD,-0.4004123611217519,0.4314805270466688,
Mimo-VL,Chinese,VD,FORCE,0.19061354974298697,0.7175425065059222,
Mimo-VL,Chinese,VD,HAND,0.3760525499437906,0.46251100859315086,
Mimo-VL,Chinese,VD,ARM,0.12941582803439744,0.8069600156344923,
Mimo-VL,Chinese,VD,HD,0.033991278563500316,0.9490327190356573,
Mimo-VL,Chinese,VD,VD,0.26562008114017205,0.6109401615450522,
Mimo-emb,Chinese,FORCE,FORCE,0.7953186041000485,0.05855420104957023,
Mimo-emb,Chinese,FORCE,HAND,0.48830704246432505,0.32575632180827685,
Mimo-emb,Chinese,FORCE,ARM,0.5120365370056593,0.2990684264519966,
Mimo-emb,Chinese,FORCE,HD,0.22557848501232017,0.6673716267265933,
Mimo-emb,Chinese,FORCE,VD,0.40041236112175194,0.4314805270466688,
Mimo-emb,Chinese,HAND,FORCE,-0.7775907555692821,0.0686979744031342,
Mimo-emb,Chinese,HAND,HAND,-0.6597586671862741,0.1539523700121843,
Mimo-emb,Chinese,HAND,ARM,0.06805507511940705,0.8980749856313944,
Mimo-emb,Chinese,HAND,HD,-0.337538750378925,0.5129201757448464,
Mimo-emb,Chinese,HAND,VD,-0.10189338613790017,0.847688862715689,
Mimo-emb,Chinese,ARM,FORCE,0.7953186041000485,0.05855420104957023,
Mimo-emb,Chinese,ARM,HAND,0.488307042464325,0.32575632180827685,
Mimo-emb,Chinese,ARM,ARM,0.5120365370056592,0.2990684264519966,
Mimo-emb,Chinese,ARM,HD,0.22557848501232014,0.6673716267265933,
Mimo-emb,Chinese,ARM,VD,0.40041236112175194,0.4314805270466688,
Mimo-emb,Chinese,HD,FORCE,,,
Mimo-emb,Chinese,HD,HAND,,,
Mimo-emb,Chinese,HD,ARM,,,
Mimo-emb,Chinese,HD,HD,,,
Mimo-emb,Chinese,HD,VD,,,
Mimo-emb,Chinese,VD,FORCE,0.10392637415131742,0.8446716771126948,
Mimo-emb,Chinese,VD,HAND,-0.08874496848780633,0.8672320102860678,
Mimo-emb,Chinese,VD,ARM,0.5426994716040744,0.2658694538982562,
Mimo-emb,Chinese,VD,HD,-0.06840263871758376,0.8975560671944366,
Mimo-emb,Chinese,VD,VD,0.2946143961793946,0.5708643232389687,
Qwen2.5,Chinese,FORCE,FORCE,0.7953186041000485,0.05855420104957023,
Qwen2.5,Chinese,FORCE,HAND,0.48830704246432505,0.32575632180827685,
Qwen2.5,Chinese,FORCE,ARM,0.5120365370056593,0.2990684264519966,
Qwen2.5,Chinese,FORCE,HD,0.22557848501232017,0.6673716267265933,
Qwen2.5,Chinese,FORCE,VD,0.40041236112175194,0.4314805270466688,
Qwen2.5,Chinese,HAND,FORCE,0.8808003927095146,0.020465992993083548,*
Qwen2.5,Chinese,HAND,HAND,0.2985350489807099,0.5655006223060488,
Qwen2.5,Chinese,HAND,ARM,-0.18741469485785348,0.7221693596837011,
Qwen2.5,Chinese,HAND,HD,-0.40451734234494574,0.42632043856579166,
Qwen2.5,Chinese,HAND,VD,-0.3685046509877548,0.47226369294496273,
Qwen2.5,Chinese,ARM,FORCE,,,
Qwen2.5,Chinese,ARM,HAND,,,
Qwen2.5,Chinese,ARM,ARM,,,
Qwen2.5,Chinese,ARM,HD,,,
Qwen2.5,Chinese,ARM,VD,,,
Qwen2.5,Chinese,HD,FORCE,-0.7953186041000484,0.05855420104957035,
Qwen2.5,Chinese,HD,HAND,-0.48830704246432494,0.32575632180827685,
Qwen2.5,Chinese,HD,ARM,-0.5120365370056592,0.2990684264519966,
Qwen2.5,Chinese,HD,HD,-0.22557848501232014,0.6673716267265933,
Qwen2.5,Chinese,HD,VD,-0.4004123611217519,0.4314805270466688,
Qwen2.5,Chinese,VD,FORCE,0.11831185846116418,0.8233602590134973,
Qwen2.5,Chinese,VD,HAND,0.033676347756160206,0.9495045744781072,
Qwen2.5,Chinese,VD,ARM,0.365740383575471,0.47585124386437555,
Qwen2.5,Chinese,VD,HD,-0.42952615639332203,0.39533298965291686,
Qwen2.5,Chinese,VD,VD,-0.400412361121752,0.43148052704666856,
Qwen2.5-VL,Chinese,FORCE,FORCE,-0.6364164687207475,0.17425788032016765,
Qwen2.5-VL,Chinese,FORCE,HAND,-0.5579417177552104,0.2499307617209238,
Qwen2.5-VL,Chinese,FORCE,ARM,-0.4140557211975833,0.41440971771739615,
Qwen2.5-VL,Chinese,FORCE,HD,-0.16755156191802487,0.7510245386796065,
Qwen2.5-VL,Chinese,FORCE,VD,-0.42992209281904736,0.3948487571294012,
Qwen2.5-VL,Chinese,HAND,FORCE,-0.3253576107682018,0.5291843676708136,
Qwen2.5-VL,Chinese,HAND,HAND,-0.3732461876307774,0.4661296887299897,
Qwen2.5-VL,Chinese,HAND,ARM,0.24757810580493417,0.6362204811982239,
Qwen2.5-VL,Chinese,HAND,HD,0.015450581165227252,0.9768259724370678,
Qwen2.5-VL,Chinese,HAND,VD,0.37266100936083824,0.46688536359105987,
Qwen2.5-VL,Chinese,ARM,FORCE,-0.36253608327219944,0.4800203709634196,
Qwen2.5-VL,Chinese,ARM,HAND,-0.05856869107965325,0.9122474172242985,
Qwen2.5-VL,Chinese,ARM,ARM,-0.012581851689101493,0.981128218338731,
Qwen2.5-VL,Chinese,ARM,HD,-0.46295056701617376,0.3551846793238082,
Qwen2.5-VL,Chinese,ARM,VD,-0.39891798646014276,0.43336403887881475,
Qwen2.5-VL,Chinese,HD,FORCE,-0.08544745333306307,0.8721407573480426,
Qwen2.5-VL,Chinese,HD,HAND,0.6623015058711537,0.15180479518492043,
Qwen2.5-VL,Chinese,HD,ARM,0.5120365370056592,0.2990684264519966,
Qwen2.5-VL,Chinese,HD,HD,0.48514824858814065,0.3293720132693721,
Qwen2.5-VL,Chinese,HD,VD,0.3290517423079743,0.5242364333180748,
Qwen2.5-VL,Chinese,VD,FORCE,0.11831185846116418,0.8233602590134973,
Qwen2.5-VL,Chinese,VD,HAND,0.033676347756160206,0.9495045744781072,
Qwen2.5-VL,Chinese,VD,ARM,0.365740383575471,0.47585124386437555,
Qwen2.5-VL,Chinese,VD,HD,-0.42952615639332203,0.39533298965291686,
Qwen2.5-VL,Chinese,VD,VD,-0.400412361121752,0.43148052704666856,
RoboBrain,Chinese,FORCE,FORCE,-0.5982314805975028,0.20970059075552205,
RoboBrain,Chinese,FORCE,HAND,-0.29708584971381335,0.5674816242891172,
RoboBrain,Chinese,FORCE,ARM,0.5666025658493246,0.24104676097292072,
RoboBrain,Chinese,FORCE,HD,0.31116718641918895,0.5483136045693097,
RoboBrain,Chinese,FORCE,VD,0.522048255565986,0.2880656657788339,
RoboBrain,Chinese,HAND,FORCE,-0.7953186041000484,0.05855420104957035,
RoboBrain,Chinese,HAND,HAND,-0.48830704246432494,0.32575632180827685,
RoboBrain,Chinese,HAND,ARM,-0.5120365370056591,0.2990684264519966,
RoboBrain,Chinese,HAND,HD,-0.22557848501232014,0.6673716267265933,
RoboBrain,Chinese,HAND,VD,-0.4004123611217519,0.4314805270466688,
RoboBrain,Chinese,ARM,FORCE,0.034293953823045814,0.9485792354009119,
RoboBrain,Chinese,ARM,HAND,0.40998083755757286,0.4194844120796067,
RoboBrain,Chinese,ARM,ARM,0.8933114699262099,0.016466475647176036,*
RoboBrain,Chinese,ARM,HD,0.297117528085007,0.5674383010792019,
RoboBrain,Chinese,ARM,VD,0.5230258044699648,0.2869997147237343,
RoboBrain,Chinese,HD,FORCE,-0.8366073119181058,0.037864694550331125,*
RoboBrain,Chinese,HD,HAND,-0.27510940231219905,0.5977467492943034,
RoboBrain,Chinese,HD,ARM,0.15124411503720103,0.7748636655495392,
RoboBrain,Chinese,HD,HD,0.449503054429836,0.37115713777150444,
RoboBrain,Chinese,HD,VD,0.3447615274439724,0.5033469744630792,
RoboBrain,Chinese,VD,FORCE,,,
RoboBrain,Chinese,VD,HAND,,,
RoboBrain,Chinese,VD,ARM,,,
RoboBrain,Chinese,VD,HD,,,
RoboBrain,Chinese,VD,VD,,,
Mimo-7B,English,FORCE,FORCE,0.7561291888432664,0.08195759777445082,
Mimo-7B,English,FORCE,HAND,0.4095852649394655,0.41997813289279945,
Mimo-7B,English,FORCE,ARM,0.04638948005874868,0.9304656946180598,
Mimo-7B,English,FORCE,HD,0.1985948303735734,0.7060240352253031,
Mimo-7B,English,FORCE,VD,-0.26980728265430465,0.6051095174149027,
Mimo-7B,English,HAND,FORCE,0.7659400768640718,0.07576469644027643,
Mimo-7B,English,HAND,HAND,0.669568221483571,0.1457386170352079,
Mimo-7B,English,HAND,ARM,0.11742487370678664,0.8246722518032775,
Mimo-7B,English,HAND,HD,0.2247191226559293,0.6685953260077889,
Mimo-7B,English,HAND,VD,-0.9581125917918388,0.0025950855695451116,*
Mimo-7B,English,ARM,FORCE,,,
Mimo-7B,English,ARM,HAND,,,
Mimo-7B,English,ARM,ARM,,,
Mimo-7B,English,ARM,HD,,,
Mimo-7B,English,ARM,VD,,,
Mimo-7B,English,HD,FORCE,,,
Mimo-7B,English,HD,HAND,,,
Mimo-7B,English,HD,ARM,,,
Mimo-7B,English,HD,HD,,,
Mimo-7B,English,HD,VD,,,
Mimo-7B,English,VD,FORCE,0.19089183648672997,0.7171402652514433,
Mimo-7B,English,VD,HAND,0.4245460616376717,0.40144086243495325,
Mimo-7B,English,VD,ARM,-0.051865015426116656,0.9222722347833886,
Mimo-7B,English,VD,HD,-0.37575284212683524,0.4628970459680593,
Mimo-7B,English,VD,VD,-0.49684140869137317,0.31606088199033905,
Mimo-VL,English,FORCE,FORCE,0.5181349847496949,0.29234778250627885,
Mimo-VL,English,FORCE,HAND,0.6613848141239694,0.1525775162235398,
Mimo-VL,English,FORCE,ARM,0.10373003085223295,0.8449630171021604,
Mimo-VL,English,FORCE,HD,-0.10247804785277373,0.8468210276553054,
Mimo-VL,English,FORCE,VD,-0.1064660161481513,0.8409043725947338,
Mimo-VL,English,HAND,FORCE,-0.1976506212203471,0.7073847548331026,
Mimo-VL,English,HAND,HAND,0.28772820745561667,0.580317841377687,
Mimo-VL,English,HAND,ARM,-0.568448613769355,0.2391695672128724,
Mimo-VL,English,HAND,HD,-0.5313947654360066,0.2779355841887633,
Mimo-VL,English,HAND,VD,-0.21330138562211054,0.6849002594481934,
Mimo-VL,English,ARM,FORCE,-0.31708643403104747,0.5403108875101558,
Mimo-VL,English,ARM,HAND,-0.09183273478010003,0.8626381220891944,
Mimo-VL,English,ARM,ARM,0.16236318020562052,0.7585953227191619,
Mimo-VL,English,ARM,HD,0.1680417795468697,0.750309915898502,
Mimo-VL,English,ARM,VD,0.7935508313361895,0.059532327094012155,
Mimo-VL,English,HD,FORCE,-0.31708643403104747,0.5403108875101558,
Mimo-VL,English,HD,HAND,-0.09183273478010003,0.8626381220891944,
Mimo-VL,English,HD,ARM,0.16236318020562052,0.7585953227191619,
Mimo-VL,English,HD,HD,0.1680417795468697,0.750309915898502,
Mimo-VL,English,HD,VD,0.7935508313361895,0.059532327094012155,
Mimo-VL,English,VD,FORCE,0.7158443868252363,0.10964462972608306,
Mimo-VL,English,VD,HAND,0.2784115122312328,0.5931729832706579,
Mimo-VL,English,VD,ARM,-0.33712260026975793,0.5134733690794214,
Mimo-VL,English,VD,HD,-0.5807089378323821,0.22685076071558022,
Mimo-VL,English,VD,VD,-0.6387960968889085,0.17213956713011724,
Mimo-emb,English,FORCE,FORCE,0.5085887936279668,0.30289324948690943,
Mimo-emb,English,FORCE,HAND,0.2226998509718396,0.6714726479971057,
Mimo-emb,English,FORCE,ARM,-0.22921315071344972,0.6622015507958267,
Mimo-emb,English,FORCE,HD,-0.4830861503963704,0.3317402201926523,
Mimo-emb,English,FORCE,VD,-0.050188561322849455,0.9247803677906917,
Mimo-emb,English,HAND,FORCE,0.6137780307580498,0.1949452489609368,
Mimo-emb,English,HAND,HAND,0.809412643673478,0.051023906819478014,
Mimo-emb,English,HAND,ARM,-0.5999573150118316,0.20804097922841014,
Mimo-emb,English,HAND,HD,-0.377264214564953,0.460951362966826,
Mimo-emb,English,HAND,VD,-0.47553587024911737,0.3404636953900072,
Mimo-emb,English,ARM,FORCE,-0.1976506212203471,0.7073847548331026,
Mimo-emb,English,ARM,HAND,-0.1612346921036119,0.7602437408339848,
Mimo-emb,English,ARM,ARM,0.4767633534839751,0.3390399104188201,
Mimo-emb,English,ARM,HD,-0.024154307519818504,0.9637755849009956,
Mimo-emb,English,ARM,VD,-0.10037712264569892,0.8499399942311782,
Mimo-emb,English,HD,FORCE,,,
Mimo-emb,English,HD,HAND,,,
Mimo-emb,English,HD,ARM,,,
Mimo-emb,English,HD,HD,,,
Mimo-emb,English,HD,VD,,,
Mimo-emb,English,VD,FORCE,,,
Mimo-emb,English,VD,HAND,,,
Mimo-emb,English,VD,ARM,,,
Mimo-emb,English,VD,HD,,,
Mimo-emb,English,VD,VD,,,
Qwen2.5,English,FORCE,FORCE,,,
Qwen2.5,English,FORCE,HAND,,,
Qwen2.5,English,FORCE,ARM,,,
Qwen2.5,English,FORCE,HD,,,
Qwen2.5,English,FORCE,VD,,,
Qwen2.5,English,HAND,FORCE,0.43866664434994196,0.38420599918167675,
Qwen2.5,English,HAND,HAND,0.08715789111169026,0.8695942107044825,
Qwen2.5,English,HAND,ARM,0.05669968198655047,0.9150416176181156,
Qwen2.5,English,HAND,HD,0.3147528508019742,0.5434619050823174,
Qwen2.5,English,HAND,VD,0.044339195347066214,0.9335347916157313,
Qwen2.5,English,ARM,FORCE,-0.11280959672258409,0.8315034126684511,
Qwen2.5,English,ARM,HAND,-0.1278897594790352,0.8092112298431049,
Qwen2.5,English,ARM,ARM,-0.3363237304259285,0.5145358070032192,
Qwen2.5,English,ARM,HD,-0.8096558469076468,0.050898175258550796,
Qwen2.5,English,ARM,VD,0.20632321614740953,0.6949066900772373,
Qwen2.5,English,HD,FORCE,,,
Qwen2.5,English,HD,HAND,,,
Qwen2.5,English,HD,ARM,,,
Qwen2.5,English,HD,HD,,,
Qwen2.5,English,HD,VD,,,
Qwen2.5,English,VD,FORCE,0.7158443868252363,0.10964462972608306,
Qwen2.5,English,VD,HAND,0.2784115122312328,0.5931729832706579,
Qwen2.5,English,VD,ARM,-0.33712260026975793,0.5134733690794214,
Qwen2.5,English,VD,HD,-0.5807089378323821,0.22685076071558022,
Qwen2.5,English,VD,VD,-0.6387960968889085,0.17213956713011724,
Qwen2.5-VL,English,FORCE,FORCE,0.48930580619183556,0.3246161308451752,
Qwen2.5-VL,English,FORCE,HAND,0.7126395231098863,0.11199951987219207,
Qwen2.5-VL,English,FORCE,ARM,-0.2658872548276015,0.610567704733632,
Qwen2.5-VL,English,FORCE,HD,0.2656973827180037,0.610832392465841,
Qwen2.5-VL,English,FORCE,VD,-0.5897155955434825,0.21796767647032037,
Qwen2.5-VL,English,HAND,FORCE,-0.018729293080727075,0.9719093453697374,
Qwen2.5-VL,English,HAND,HAND,-0.041703645798657825,0.9374807966688086,
Qwen2.5-VL,English,HAND,ARM,-0.5485639981466897,0.25969161669202656,
Qwen2.5-VL,English,HAND,HD,-0.25806811149932346,0.6214913912072955,
Qwen2.5-VL,English,HAND,VD,-0.4874744006493438,0.3267079846741647,
Qwen2.5-VL,English,ARM,FORCE,0.3591456409979482,0.48444384496309223,
Qwen2.5-VL,English,ARM,HAND,0.13272911117921635,0.8020754787321704,
Qwen2.5-VL,English,ARM,ARM,-0.8710099727111084,0.023884545124567766,*
Qwen2.5-VL,English,ARM,HD,-0.7487835331143732,0.08673747025927818,
Qwen2.5-VL,English,ARM,VD,-0.36386706959065934,0.478287258139652,
Qwen2.5-VL,English,HD,FORCE,0.506118731241864,0.3056446210461085,
Qwen2.5-VL,English,HD,HAND,0.7735358579943413,0.07112179056589801,
Qwen2.5-VL,English,HD,ARM,-0.6726474608518572,0.14320002985911062,
Qwen2.5-VL,English,HD,HD,-0.47357228781390653,0.34274576531404843,
Qwen2.5-VL,English,HD,VD,-0.539614565308609,0.269141683207962,
Qwen2.5-VL,English,VD,FORCE,0.506118731241864,0.3056446210461085,
Qwen2.5-VL,English,VD,HAND,0.7735358579943413,0.07112179056589801,
Qwen2.5-VL,English,VD,ARM,-0.6726474608518572,0.14320002985911062,
Qwen2.5-VL,English,VD,HD,-0.47357228781390653,0.34274576531404843,
Qwen2.5-VL,English,VD,VD,-0.539614565308609,0.269141683207962,
RoboBrain,English,FORCE,FORCE,-0.051831436331998285,0.9223224680216399,
RoboBrain,English,FORCE,HAND,-0.6056453367399247,0.20260924953184098,
RoboBrain,English,FORCE,ARM,-0.4291026905434258,0.39585111437678794,
RoboBrain,English,FORCE,HD,-0.47357228781390637,0.34274576531404866,
RoboBrain,English,FORCE,VD,0.07935508313361893,0.8812172338736699,
RoboBrain,English,HAND,FORCE,-0.1857639157849812,0.7245593185119708,
RoboBrain,English,HAND,HAND,0.13790652208969148,0.7944515843838592,
RoboBrain,English,HAND,ARM,-0.7045416631854821,0.1180473325425934,
RoboBrain,English,HAND,HD,-0.6793929786448561,0.13770587775337598,
RoboBrain,English,HAND,VD,-0.26539275261334255,0.6112571165048954,
RoboBrain,English,ARM,FORCE,0.8002439785994553,0.05586832299422402,
RoboBrain,English,ARM,HAND,0.774104681978114,0.07077947044708907,
RoboBrain,English,ARM,ARM,-0.01833705205707611,0.9724975048081413,
RoboBrain,English,ARM,HD,-0.24154307519818516,0.6447315679261234,
RoboBrain,English,ARM,VD,-0.7402812795120309,0.09242121155542496,
RoboBrain,English,HD,FORCE,-0.8484514471897838,0.03271014072067816,*
RoboBrain,English,HD,HAND,-0.39640573472987417,0.4365365022693634,
RoboBrain,English,HD,ARM,0.0916852602853798,0.8628574712913545,
RoboBrain,English,HD,HD,-0.024154307519818504,0.9637755849009956,
RoboBrain,English,HD,VD,0.8406584021577302,0.036061795951538515,*
RoboBrain,English,VD,FORCE,0.506118731241864,0.3056446210461085,
RoboBrain,English,VD,HAND,0.7735358579943413,0.07112179056589801,
RoboBrain,English,VD,ARM,-0.6726474608518572,0.14320002985911062,
RoboBrain,English,VD,HD,-0.47357228781390653,0.34274576531404843,
RoboBrain,English,VD,VD,-0.539614565308609,0.269141683207962,
